Wavelength	R1
729	0.028738
730	0.028335
731	0.030192
732	0.032088
733	0.031151
734	0.028972
735	0.02584
736	0.024465
737	0.02436
738	0.024963
739	0.026483
740	0.027415
741	0.026847
742	0.025478
743	0.02395
744	0.022718
745	0.021794
746	0.021192
747	0.020935
748	0.021243
749	0.022083
750	0.022048
751	0.021406
752	0.021013
753	0.020948
754	0.020434
755	0.019938
756	0.019701
757	0.019751
758	0.020161
759	0.020712
760	0.021464
761	0.021845
762	0.023487
763	0.035468
764	0.048295
765	0.029989
766	0.021639
767	0.018503
768	0.01685
769	0.015916
770	0.015119
771	0.014423
772	0.013943
773	0.013433
774	0.012841
775	0.012451
776	0.01215
777	0.011896
778	0.011726
779	0.011621
780	0.011786
781	0.01207
782	0.011919
783	0.011578
784	0.011194
785	0.010947
786	0.010933
787	0.011339
788	0.013555
789	0.01665
790	0.014976
791	0.012439
792	0.011231
793	0.01067
794	0.010613
795	0.011083
796	0.012559
797	0.013874
798	0.012848
799	0.011876
800	0.011112
801	0.010503
802	0.010063
803	0.009787
804	0.00967
805	0.009816
806	0.010352
807	0.010823
808	0.010679
809	0.010355
810	0.009994
811	0.009718
812	0.009535
813	0.009408
814	0.009331
815	0.009595
816	0.010296
817	0.011239
818	0.012573
819	0.016042
820	0.024865
821	0.042093
822	0.084125
823	0.095092
824	0.054477
825	0.035582
826	0.039771
827	0.062553
828	0.050934
829	0.023271
830	0.015139
831	0.013096
832	0.014401
833	0.02332
834	0.044531
835	0.033428
836	0.017064
837	0.011772
838	0.009485
839	0.009546
840	0.017898
841	0.019993
842	0.009907
843	0.007171
844	0.006144
845	0.005611
846	0.00528
847	0.005081
848	0.00495
849	0.004874
850	0.004859
851	0.004898
852	0.005021
853	0.005141
854	0.005227
855	0.005287
856	0.005403
857	0.00576
858	0.005994
859	0.005901
860	0.005824
861	0.005918
862	0.006213
863	0.006872
864	0.007748
865	0.008235
866	0.008274
867	0.008446
868	0.008808
869	0.00937
870	0.010157
871	0.010814
872	0.011639
873	0.012623
874	0.013351
875	0.014065
876	0.014939
877	0.016893
878	0.020816
879	0.031632
880	0.056322
881	0.084706
882	0.094285
883	0.072133
884	0.047479
885	0.035084
886	0.029229
887	0.025132
888	0.021056
889	0.019272
890	0.019783
891	0.020372
892	0.022518
893	0.030716
894	0.054752
895	0.070481
896	0.042813
897	0.028328
898	0.023967
899	0.020318
900	0.017837
901	0.017075
902	0.02157
903	0.045082
904	0.077303
905	0.04537
906	0.022937
907	0.015945
908	0.013515
909	0.012726
910	0.01307
911	0.014576
912	0.01812
913	0.026529
914	0.048183
915	0.086415
916	0.082298
917	0.049802
918	0.032062
919	0.026186
920	0.023742
921	0.020664
922	0.017081
923	0.014493
924	0.01271
925	0.011496
926	0.010888
927	0.010597
928	0.011026
929	0.012315
930	0.013876
931	0.013515
932	0.012757
933	0.012617
934	0.013643
935	0.016454
936	0.024296
937	0.035763
938	0.035956
939	0.029469
940	0.025723
941	0.023004
942	0.020829
943	0.021466
