Kommentar: 
Zeit: 14.11.2024	14:36
Startenergie: 120
Endenergie: 230
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
120	-69
120.5	-58
121	-46
121.5	-54
122	-29
122.5	14
123	81
123.5	121
124	117
124.5	95
125	60
125.5	34
126	36
126.5	6
127	-18
127.5	-9
128	27
128.5	81
129	74
129.5	73
130	30
130.5	-18
131	-45
131.5	-89
132	-63
132.5	-5
133	85
133.5	209
134	314
134.5	395
135	394
135.5	374
136	360
136.5	356
137	372
137.5	360
138	383
138.5	422
139	476
139.5	494
140	480
140.5	482
141	510
141.5	598
142	630
142.5	630
143	562
143.5	551
144	544
144.5	557
145	531
145.5	531
146	538
146.5	531
147	585
147.5	645
148	716
148.5	767
149	772
149.5	836
150	932
150.5	1024
151	1079
151.5	1089
152	1058
152.5	1047
153	1053
153.5	1045
154	1002
154.5	885
155	838
155.5	815
156	818
156.5	812
157	797
157.5	814
158	804
158.5	800
159	906
159.5	1068
160	1186
160.5	1275
161	1376
161.5	1434
162	1547
162.5	1652
163	1678
163.5	1700
164	1796
164.5	1902
165	2045
165.5	2147
166	2201
166.5	2219
167	2274
167.5	2312
168	2342
168.5	2266
169	2141
169.5	1924
170	1740
170.5	1598
171	1408
171.5	1108
172	823
172.5	690
173	597
173.5	613
174	716
174.5	825
175	1023
175.5	1243
176	1491
176.5	1708
177	1988
177.5	2255
178	2486
178.5	2698
179	2861
179.5	3110
180	3416
180.5	3888
181	4466
181.5	5022
182	5474
182.5	5825
183	5988
183.5	5893
184	5567
184.5	5091
185	4224
185.5	3220
186	1758
186.5	657
187	-413
187.5	-1314
188	-1938
188.5	-2344
189	-2240
189.5	-1588
190	-478
190.5	730
191	2090
191.5	3094
192	3647
192.5	3406
193	2367
193.5	342
194	-2041
194.5	-4289
195	-6443
195.5	-7841
196	-8038
196.5	-6645
197	-1409
197.5	4932
198	8866
198.5	11532
199	13226
199.5	14409
200	15000
200.5	14522
201	11111
201.5	3564
202	-2922
202.5	-7322
203	-10302
203.5	-12198
204	-13610
204.5	-14573
205	-15000
205.5	-15000
206	-15000
206.5	-15000
207	-14169
207.5	-12003
208	-9747
208.5	-7957
209	-6161
209.5	-4930
210	-3928
210.5	-3031
211	-2576
211.5	-2172
212	-1887
212.5	-1585
213	-1304
213.5	-1100
214	-972
214.5	-956
215	-941
215.5	-887
216	-809
216.5	-778
217	-710
217.5	-651
218	-601
218.5	-532
219	-474
219.5	-452
220	-413
220.5	-386
221	-321
221.5	-281
222	-265
222.5	-222
223	-144
223.5	-158
224	-111
224.5	-40
225	17
225.5	5
226	-90
226.5	-151
227	-161
227.5	-136
228	-129
228.5	-121
229	-72
229.5	-41
230	-4
