Kommentar: 
Zeit: 14.11.2024	14:37
Startenergie: 120
Endenergie: 230
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
120	-351
120.5	-403
121	-415
121.5	-431
122	-414
122.5	-411
123	-367
123.5	-230
124	-164
124.5	-40
125	-30
125.5	-82
126	-113
126.5	-49
127	20
127.5	123
128	300
128.5	428
129	488
129.5	540
130	623
130.5	628
131	622
131.5	548
132	422
132.5	355
133	265
133.5	287
134	366
134.5	483
135	531
135.5	597
136	636
136.5	721
137	803
137.5	809
138	749
138.5	702
139	674
139.5	640
140	600
140.5	550
141	500
141.5	503
142	595
142.5	700
143	775
143.5	777
144	808
144.5	860
145	908
145.5	960
146	1017
146.5	1038
147	1021
147.5	1008
148	1016
148.5	1053
149	998
149.5	928
150	844
150.5	822
151	851
151.5	880
152	942
152.5	1021
153	1136
153.5	1220
154	1270
154.5	1292
155	1292
155.5	1276
156	1257
156.5	1179
157	1113
157.5	996
158	980
158.5	1021
159	1072
159.5	1177
160	1375
160.5	1630
161	1819
161.5	1936
162	2092
162.5	2154
163	2261
163.5	2457
164	2643
164.5	2890
165	3030
165.5	3144
166	3180
166.5	3189
167	3155
167.5	3135
168	3122
168.5	3048
169	2765
169.5	2419
170	2047
170.5	1638
171	1329
171.5	1064
172	835
172.5	691
173	665
173.5	699
174	716
174.5	844
175	1067
175.5	1345
176	1591
176.5	1870
177	2125
177.5	2343
178	2586
178.5	2872
179	3268
179.5	3632
180	4049
180.5	4461
181	5109
181.5	5627
182	6204
182.5	6780
183	7162
183.5	7273
184	7107
184.5	6455
185	5391
185.5	3896
186	2291
186.5	382
187	-928
187.5	-2273
188	-3093
188.5	-3545
189	-3610
189.5	-2997
190	-2151
190.5	-800
191	501
191.5	1714
192	2194
192.5	2083
193	1211
193.5	-362
194	-2534
194.5	-4322
195	-6194
195.5	-6919
196	-6009
196.5	-3441
197	2921
197.5	7499
198	10409
198.5	12440
199	14051
199.5	15000
200	15000
200.5	15000
201	12464
201.5	3750
202	-2377
202.5	-7510
203	-10431
203.5	-12156
204	-13582
204.5	-14613
205	-15000
205.5	-15000
206	-15000
206.5	-15000
207	-14845
207.5	-13039
208	-11251
208.5	-8711
209	-6670
209.5	-5229
210	-4118
210.5	-3166
211	-2586
211.5	-2102
212	-1733
212.5	-1487
213	-1310
213.5	-1151
214	-1051
214.5	-926
215	-819
215.5	-756
216	-676
216.5	-561
217	-519
217.5	-443
218	-396
218.5	-379
219	-359
219.5	-303
220	-253
220.5	-168
221	-112
221.5	-119
222	-206
222.5	-254
223	-289
223.5	-249
224	-221
224.5	-167
225	-132
225.5	-70
226	-21
226.5	-103
227	-230
227.5	-237
228	-262
228.5	-295
229	-315
229.5	-295
230	-293
