Kommentar: 
Zeit: 14.11.2024	14:20
Startenergie: 900
Endenergie: 1100
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
900	4
900.5	8
901	30
901.5	54
902	78
902.5	102
903	125
903.5	136
904	149
904.5	162
905	170
905.5	177
906	184
906.5	182
907	181
907.5	186
908	188
908.5	185
909	182
909.5	177
910	174
910.5	182
911	175
911.5	178
912	184
912.5	172
913	153
913.5	153
914	161
914.5	171
915	171
915.5	161
916	154
916.5	147
917	155
917.5	164
918	176
918.5	189
919	204
919.5	216
920	219
920.5	226
921	229
921.5	237
922	258
922.5	271
923	273
923.5	266
924	264
924.5	260
925	249
925.5	241
926	232
926.5	227
927	230
927.5	220
928	213
928.5	205
929	201
929.5	198
930	204
930.5	207
931	204
931.5	214
932	229
932.5	233
933	246
933.5	266
934	285
934.5	304
935	322
935.5	337
936	353
936.5	371
937	374
937.5	379
938	376
938.5	370
939	359
939.5	356
940	356
940.5	361
941	360
941.5	332
942	305
942.5	287
943	264
943.5	248
944	243
944.5	241
945	241
945.5	246
946	251
946.5	254
947	267
947.5	282
948	306
948.5	331
949	374
949.5	417
950	449
950.5	495
951	531
951.5	559
952	567
952.5	572
953	579
953.5	580
954	580
954.5	565
955	552
955.5	530
956	506
956.5	472
957	443
957.5	410
958	377
958.5	351
959	327
959.5	302
960	287
960.5	281
961	296
961.5	309
962	330
962.5	367
963	403
963.5	444
964	505
964.5	573
965	629
965.5	697
966	764
966.5	838
967	896
967.5	940
968	960
968.5	959
969	938
969.5	899
970	838
970.5	781
971	717
971.5	645
972	565
972.5	498
973	416
973.5	337
974	258
974.5	180
975	120
975.5	80
976	77
976.5	98
977	125
977.5	194
978	286
978.5	408
979	543
979.5	711
980	865
980.5	1026
981	1153
981.5	1235
982	1285
982.5	1287
983	1265
983.5	1204
984	1101
984.5	980
985	838
985.5	669
986	512
986.5	358
987	201
987.5	65
988	-43
988.5	-146
989	-238
989.5	-310
990	-370
990.5	-418
991	-450
991.5	-464
992	-461
992.5	-445
993	-392
993.5	-330
994	-244
994.5	-123
995	25
995.5	220
996	472
996.5	735
997	974
997.5	1222
998	1432
998.5	1608
999	1750
999.5	1863
1000	1930
1000.5	1949
1001	1899
1001.5	1795
1002	1656
1002.5	1428
1003	1169
1003.5	843
1004	530
1004.5	227
1005	-99
1005.5	-425
1006	-764
1006.5	-1032
1007	-1258
1007.5	-1461
1008	-1611
1008.5	-1657
1009	-1604
1009.5	-1450
1010	-1161
1010.5	-725
1011	-191
1011.5	491
1012	1345
1012.5	2037
1013	2723
1013.5	3359
1014	3924
1014.5	4352
1015	4670
1015.5	4787
1016	4725
1016.5	4392
1017	3843
1017.5	3188
1018	2390
1018.5	1483
1019	500
1019.5	-520
1020	-1448
1020.5	-2414
1021	-3265
1021.5	-4049
1022	-4768
1022.5	-5357
1023	-5969
1023.5	-6399
1024	-6578
1024.5	-6473
1025	-6107
1025.5	-5515
1026	-4728
1026.5	-3910
1027	-3181
1027.5	-2528
1028	-2006
1028.5	-1712
1029	-1624
1029.5	-1757
1030	-2155
1030.5	-2671
1031	-3259
1031.5	-3985
1032	-4727
1032.5	-5313
1033	-5747
1033.5	-5939
1034	-5922
1034.5	-5703
1035	-5351
1035.5	-4954
1036	-4370
1036.5	-3853
1037	-3467
1037.5	-3227
1038	-3124
1038.5	-3143
1039	-3230
1039.5	-3346
1040	-3480
1040.5	-3585
1041	-3646
1041.5	-3569
1042	-3340
1042.5	-3031
1043	-2634
1043.5	-2109
1044	-1660
1044.5	-1295
1045	-920
1045.5	-634
1046	-407
1046.5	-261
1047	-178
1047.5	-99
1048	-40
1048.5	0
1049	27
1049.5	51
1050	66
1050.5	86
1051	98
1051.5	116
1052	126
1052.5	125
1053	120
1053.5	109
1054	115
1054.5	124
1055	115
1055.5	106
1056	107
1056.5	112
1057	114
1057.5	122
1058	133
1058.5	148
1059	152
1059.5	145
1060	142
1060.5	137
1061	125
1061.5	111
1062	110
1062.5	107
1063	110
1063.5	108
1064	105
1064.5	106
1065	118
1065.5	114
1066	108
1066.5	103
1067	99
1067.5	101
1068	106
1068.5	110
1069	113
1069.5	107
1070	101
1070.5	104
1071	99
1071.5	100
1072	96
1072.5	113
1073	124
1073.5	126
1074	125
1074.5	118
1075	109
1075.5	110
1076	113
1076.5	112
1077	108
1077.5	106
1078	102
1078.5	97
1079	99
1079.5	103
1080	103
1080.5	100
1081	99
1081.5	100
1082	105
1082.5	107
1083	113
1083.5	116
1084	118
1084.5	117
1085	111
1085.5	110
1086	108
1086.5	103
1087	101
1087.5	110
1088	121
1088.5	117
1089	112
1089.5	112
1090	106
1090.5	100
1091	89
1091.5	83
1092	84
1092.5	89
1093	96
1093.5	101
1094	110
1094.5	118
1095	126
1095.5	129
1096	121
1096.5	114
1097	114
1097.5	119
1098	125
1098.5	130
1099	136
1099.5	137
1100	136
