Kommentar: 
Zeit: 14.11.2024	14:17
Startenergie: 900
Endenergie: 1100
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
900	19
900.5	26
901	55
901.5	86
902	116
902.5	158
903	191
903.5	213
904	230
904.5	249
905	261
905.5	281
906	307
906.5	318
907	321
907.5	330
908	327
908.5	315
909	305
909.5	293
910	281
910.5	278
911	269
911.5	260
912	248
912.5	249
913	256
913.5	248
914	238
914.5	253
915	273
915.5	278
916	280
916.5	284
917	281
917.5	262
918	265
918.5	280
919	288
919.5	310
920	332
920.5	346
921	357
921.5	370
922	388
922.5	394
923	389
923.5	383
924	377
924.5	372
925	366
925.5	364
926	363
926.5	349
927	345
927.5	336
928	321
928.5	315
929	312
929.5	309
930	311
930.5	317
931	320
931.5	327
932	340
932.5	360
933	368
933.5	379
934	384
934.5	400
935	431
935.5	453
936	472
936.5	496
937	529
937.5	536
938	532
938.5	533
939	531
939.5	517
940	500
940.5	477
941	464
941.5	442
942	420
942.5	404
943	394
943.5	371
944	349
944.5	337
945	339
945.5	349
946	355
946.5	370
947	398
947.5	422
948	442
948.5	483
949	519
949.5	540
950	580
950.5	615
951	654
951.5	689
952	717
952.5	747
953	764
953.5	783
954	775
954.5	763
955	732
955.5	698
956	654
956.5	620
957	578
957.5	532
958	492
958.5	460
959	439
959.5	408
960	386
960.5	376
961	374
961.5	411
962	447
962.5	475
963	514
963.5	576
964	654
964.5	753
965	850
965.5	946
966	1021
966.5	1082
967	1148
967.5	1189
968	1201
968.5	1194
969	1157
969.5	1096
970	1030
970.5	944
971	855
971.5	749
972	641
972.5	543
973	450
973.5	372
974	294
974.5	240
975	196
975.5	167
976	164
976.5	189
977	234
977.5	308
978	428
978.5	562
979	731
979.5	922
980	1156
980.5	1351
981	1503
981.5	1629
982	1707
982.5	1738
983	1724
983.5	1631
984	1484
984.5	1309
985	1126
985.5	905
986	699
986.5	473
987	238
987.5	41
988	-148
988.5	-310
989	-404
989.5	-459
990	-491
990.5	-508
991	-515
991.5	-520
992	-499
992.5	-446
993	-371
993.5	-286
994	-159
994.5	-2
995	208
995.5	484
996	788
996.5	1078
997	1356
997.5	1615
998	1853
998.5	2055
999	2189
999.5	2297
1000	2317
1000.5	2276
1001	2147
1001.5	1982
1002	1761
1002.5	1479
1003	1157
1003.5	823
1004	412
1004.5	31
1005	-318
1005.5	-677
1006	-984
1006.5	-1279
1007	-1528
1007.5	-1704
1008	-1800
1008.5	-1809
1009	-1695
1009.5	-1453
1010	-1063
1010.5	-409
1011	330
1011.5	1029
1012	1907
1012.5	2784
1013	3717
1013.5	4567
1014	5266
1014.5	5711
1015	5931
1015.5	5954
1016	5596
1016.5	4903
1017	4030
1017.5	3072
1018	1895
1018.5	668
1019	-598
1019.5	-1651
1020	-2620
1020.5	-3592
1021	-4480
1021.5	-5263
1022	-5908
1022.5	-6458
1023	-6970
1023.5	-7223
1024	-7277
1024.5	-7135
1025	-6702
1025.5	-6001
1026	-5116
1026.5	-4255
1027	-3347
1027.5	-2704
1028	-2200
1028.5	-1896
1029	-1900
1029.5	-2101
1030	-2669
1030.5	-3395
1031	-4263
1031.5	-5109
1032	-5913
1032.5	-6587
1033	-7056
1033.5	-7342
1034	-7328
1034.5	-7094
1035	-6629
1035.5	-5983
1036	-5293
1036.5	-4686
1037	-4234
1037.5	-4001
1038	-3926
1038.5	-3982
1039	-4099
1039.5	-4250
1040	-4370
1040.5	-4446
1041	-4447
1041.5	-4336
1042	-4041
1042.5	-3614
1043	-3018
1043.5	-2434
1044	-1912
1044.5	-1426
1045	-1024
1045.5	-703
1046	-455
1046.5	-234
1047	-90
1047.5	-6
1048	51
1048.5	83
1049	114
1049.5	135
1050	137
1050.5	132
1051	131
1051.5	121
1052	120
1052.5	131
1053	148
1053.5	164
1054	170
1054.5	176
1055	178
1055.5	177
1056	177
1056.5	178
1057	181
1057.5	182
1058	184
1058.5	185
1059	185
1059.5	179
1060	177
1060.5	172
1061	168
1061.5	167
1062	171
1062.5	177
1063	183
1063.5	184
1064	181
1064.5	177
1065	175
1065.5	176
1066	181
1066.5	178
1067	174
1067.5	169
1068	164
1068.5	162
1069	169
1069.5	156
1070	149
1070.5	145
1071	143
1071.5	138
1072	130
1072.5	128
1073	143
1073.5	165
1074	169
1074.5	161
1075	176
1075.5	198
1076	194
1076.5	193
1077	180
1077.5	164
1078	154
1078.5	145
1079	139
1079.5	155
1080	167
1080.5	174
1081	178
1081.5	172
1082	173
1082.5	174
1083	181
1083.5	186
1084	184
1084.5	193
1085	196
1085.5	190
1086	187
1086.5	188
1087	184
1087.5	181
1088	184
1088.5	183
1089	184
1089.5	180
1090	175
1090.5	173
1091	170
1091.5	171
1092	170
1092.5	169
1093	168
1093.5	169
1094	169
1094.5	169
1095	175
1095.5	189
1096	180
1096.5	169
1097	155
1097.5	145
1098	155
1098.5	145
1099	145
1099.5	145
1100	147
