Wavelength;S1
nm;Counts
;
1232.164;5102
1233.155;5140
1234.146;5142
1235.137;5152
1236.128;5093
1237.119;5159
1238.109;5218
1239.1;5154
1240.09;5176
1241.081;5149
1242.071;5223
1243.061;5157
1244.051;5156
1245.042;5181
1246.031;5244
1247.021;5213
1248.011;5287
1249.001;5284
1249.99;5298
1250.98;5319
1251.969;5294
1252.959;5402
1253.948;5429
1254.937;5347
1255.926;5483
1256.915;5490
1257.904;5472
1258.893;5419
1259.882;5518
1260.871;5534
1261.859;5574
1262.848;5502
1263.836;5484
1264.824;5529
1265.813;5620
1266.801;5481
1267.789;5522
1268.777;5433
1269.765;5492
1270.753;5391
1271.74;5430
1272.728;5471
1273.715;5386
1274.703;5377
1275.69;5431
1276.678;5343
1277.665;5351
1278.652;5364
1279.639;5384
1280.626;5281
1281.613;5339
1282.599;5252
1283.586;5392
1284.573;5349
1285.559;5268
1286.546;5188
1287.532;5240
1288.518;5231
1289.504;5209
1290.49;5096
1291.476;5166
1292.462;5108
1293.448;5082
1294.434;5070
1295.419;5035
1296.405;4965
1297.39;4935
1298.376;5074
1299.361;5030
1300.346;4972
1301.331;4892
1302.316;4846
1303.301;5000
1304.286;4934
1305.271;4826
1306.256;4825
1307.24;4775
1308.225;4803
1309.209;4798
1310.193;4764
1311.177;4763
1312.162;4673
1313.146;4663
1314.13;4614
1315.113;4687
1316.097;4580
1317.081;4574
1318.064;4473
1319.048;4535
1320.031;4514
1321.015;4522
