Kommentar: 
Zeit: 14.11.2024	14:38
Startenergie: 120
Endenergie: 230
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
120	104
120.5	171
121	162
121.5	135
122	78
122.5	86
123	142
123.5	204
124	211
124.5	217
125	217
125.5	252
126	311
126.5	336
127	383
127.5	380
128	342
128.5	343
129	384
129.5	474
130	471
130.5	418
131	357
131.5	359
132	499
132.5	612
133	577
133.5	554
134	589
134.5	686
135	745
135.5	756
136	761
136.5	800
137	828
137.5	854
138	884
138.5	865
139	901
139.5	945
140	914
140.5	851
141	754
141.5	716
142	705
142.5	654
143	604
143.5	633
144	701
144.5	741
145	796
145.5	836
146	923
146.5	984
147	951
147.5	1048
148	1162
148.5	1255
149	1313
149.5	1367
150	1412
150.5	1529
151	1596
151.5	1612
152	1635
152.5	1643
153	1608
153.5	1549
154	1545
154.5	1539
155	1539
155.5	1449
156	1402
156.5	1300
157	1235
157.5	1170
158	1182
158.5	1208
159	1216
159.5	1283
160	1353
160.5	1423
161	1586
161.5	1723
162	1871
162.5	1990
163	2017
163.5	2007
164	2079
164.5	2170
165	2274
165.5	2503
166	2699
166.5	2808
167	2852
167.5	2882
168	2923
168.5	2906
169	2796
169.5	2668
170	2446
170.5	2211
171	1891
171.5	1649
172	1423
172.5	1210
173	1090
173.5	1039
174	1081
174.5	1136
175	1191
175.5	1333
176	1523
176.5	1798
177	2063
177.5	2411
178	2674
178.5	2891
179	3253
179.5	3737
180	4239
180.5	4733
181	5113
181.5	5669
182	6376
182.5	6745
183	6865
183.5	6772
184	6481
184.5	5909
185	5006
185.5	3850
186	2316
186.5	1028
187	-316
187.5	-1375
188	-2156
188.5	-2661
189	-2743
189.5	-2290
190	-1239
190.5	13
191	1242
191.5	2244
192	2703
192.5	2578
193	1437
193.5	-642
194	-2563
194.5	-4711
195	-6939
195.5	-8112
196	-7661
196.5	-3951
197	1712
197.5	6365
198	9386
198.5	11886
199	13581
199.5	14657
200	15000
200.5	15000
201	10337
201.5	2519
202	-3239
202.5	-7260
203	-10262
203.5	-12299
204	-13591
204.5	-14499
205	-15000
205.5	-15000
206	-15000
206.5	-15000
207	-14880
207.5	-13262
208	-11491
208.5	-9436
209	-7186
209.5	-5681
210	-4333
210.5	-3383
211	-2782
211.5	-2105
212	-1663
212.5	-1394
213	-1241
213.5	-1057
214	-885
214.5	-826
215	-817
215.5	-814
216	-761
216.5	-705
217	-645
217.5	-636
218	-568
218.5	-509
219	-433
219.5	-348
220	-296
220.5	-347
221	-500
221.5	-542
222	-453
222.5	-361
223	-228
223.5	-169
224	-261
224.5	-319
225	-322
225.5	-345
226	-311
226.5	-178
227	-127
227.5	-110
228	-123
228.5	-164
229	-204
229.5	-219
230	-213
